,Home Team,Home Score,Away Team,Away Score,HomeAway Bool
0,Minnesota,51,UNLV,23,1
1,UCF,38,Akron,7,1
2,Fresno St,52,Rutgers,51,1
3,Utah,30,Utah St,26,1
4,Hawaii,13,USC,30,1
5,Kent,17,Liberty,10,1
6,South Carolina,27,North Carolina,10,1
7,Vanderbilt,35,Mississippi,39,1
8,Bowling Green,34,Tulsa,7,1
9,Michigan St,26,W Michigan,13,1
10,Miami FL,34,FL Atlantic,6,1
11,SMU,23,Texas Tech,41,1
12,Southern Miss,15,Texas St,22,1
13,Texas,56,New Mexico St,7,1
14,Texas A&M,52,Rice,31,1
15,Iowa,27,N Illinois,30,1
16,UCLA,58,Nevada,20,1
17,Virginia,19,BYU,16,1
18,Washington,38,Boise St,6,1
19,WKU,35,Kentucky,26,0
20,Troy,34,UAB,31,1
21,Auburn,31,Washington St,24,1
22,California,30,Northwestern,44,1
23,Cincinnati,42,Purdue,7,1
24,Florida,24,Toledo,6,1
25,Wisconsin,45,Massachusetts,0,1
26,East Carolina,52,Old Dominion,38,1
27,Michigan,59,C Michigan,9,1
28,Marshall,52,Miami OH,14,1
29,Maryland,43,Florida Intl,10,1
30,Nebraska,37,Wyoming,34,1
31,New Mexico,13,UT San Antonio,21,1
32,NC State,40,Louisiana Tech,14,1
33,Notre Dame,28,Temple,6,1
34,Ohio St,40,Buffalo,20,1
35,Oklahoma,34,ULM,0,1
36,Oklahoma St,21,Mississippi St,3,0
37,Penn St,23,Syracuse,17,0
38,Alabama,35,Virginia Tech,10,0
39,Clemson,38,Georgia,35,1
40,LSU,37,TCU,27,0
41,Louisville,49,Ohio,7,1
42,Colorado,41,Colorado St,27,0
43,Pittsburgh,13,Florida St,41,1
44,East Carolina,31,FL Atlantic,13,1
45,Boston College,24,Wake Forest,10,1
46,Florida Intl,0,UCF,38,1
47,Baylor,70,Buffalo,13,1
48,Air Force,20,Utah St,52,1
49,BYU,40,Texas,21,1
50,Auburn,38,Arkansas St,9,1
51,Ball St,40,Army,14,1
52,USC,7,Washington St,10,1
53,Penn St,45,E Michigan,7,1
54,Oregon St,33,Hawaii,14,1
55,Oklahoma,16,West Virginia,7,1
56,Ohio,27,North Texas,21,1
57,Ohio St,42,San Diego St,7,1
58,Northwestern,48,Syracuse,27,1
59,North Carolina,40,MTSU,20,1
60,New Mexico St,21,Minnesota,44,1
61,UNLV,13,Arizona,58,1
62,Nebraska,56,Southern Miss,13,1
63,Maryland,47,Old Dominion,10,1
64,LSU,56,UAB,17,1
65,Missouri,38,Toledo,23,1
66,Michigan,41,Notre Dame,30,1
67,Michigan St,21,South Florida,6,1
68,Miami FL,21,Florida,16,1
69,Memphis,14,Duke,28,1
70,UTEP,35,New Mexico,42,1
71,Indiana,35,Navy,41,1
72,Illinois,45,Cincinnati,17,1
73,Virginia,10,Oregon,59,1
74,Tulane,39,South Alabama,41,1
75,Tulsa,30,Colorado St,27,1
76,Georgia,41,South Carolina,30,1
77,UT San Antonio,35,Oklahoma St,56,1
78,Tennessee,52,WKU,20,1
79,Temple,13,Houston,22,1
80,Stanford,34,San Jose St,13,1
81,Kentucky,41,Miami OH,7,1
82,Kent,22,Bowling Green,41,1
83,Louisiana Tech,15,Tulane,24,1
84,Arkansas St,41,Troy,34,1
85,Texas Tech,20,TCU,10,1
86,Boise St,42,Air Force,20,1
87,Florida St,62,Nevada,7,1
88,Auburn,24,Mississippi St,20,1
89,Arkansas,24,Southern Miss,3,1
90,Arizona St,32,Wisconsin,30,1
91,Arizona,38,UT San Antonio,13,1
92,Rice,23,Kansas,14,1
93,Purdue,24,Notre Dame,31,1
