,Home Team,Home Score,Away Team,Away Score,HomeAway Bool
167,Houston,42,Tulane,23,1
168,Kansas,42,New Mexico St,16,1
169,LSU,20,West Virginia,14,1
170,Louisiana Tech,12,Southern Miss,13,1
171,Marshall,24,Ohio,23,1
172,UTEP,16,Memphis,13,1
173,Missouri,51,Miami OH,13,1
174,Minnesota,23,N Illinois,34,1
175,UNLV,45,New Mexico,10,1
176,Rutgers,13,North Carolina,17,1
177,Notre Dame,14,Stanford,37,1
178,Penn St,22,Temple,13,1
179,Purdue,20,Toledo,31,1
180,San Diego St,41,Utah St,7,1
181,Utah,56,San Jose St,3,1
182,South Florida,24,WKU,12,1
183,Washington St,16,USC,50,1
184,Texas,12,UCLA,34,1
185,Oklahoma St,38,Texas A&M,35,1
186,Utah St,31,BYU,16,1
187,Air Force,14,Navy,6,1
188,Akron,14,N Illinois,50,1
189,Alabama,31,Florida,6,1
190,Oregon St,31,Arizona St,28,1
191,Arkansas St,24,Louisville,34,1
192,Army,35,Temple,42,1
193,Auburn,52,ULM,3,1
194,C Michigan,17,Ball St,31,1
195,Baylor,55,Kansas,7,1
196,New Mexico St,0,Boise St,59,1
197,Boston College,13,Notre Dame,31,1
198,Bowling Green,26,Buffalo,28,1
199,Clemson,21,Miami FL,30,1
200,Colorado,29,Georgia,27,1
201,Colorado St,0,TCU,27,1
202,Connecticut,40,Vanderbilt,21,1
203,Maryland,21,Duke,16,1
204,North Carolina,42,East Carolina,17,1
205,E Michigan,17,Ohio,30,1
206,South Florida,31,FL Atlantic,3,1
207,Pittsburgh,44,Florida Intl,17,1
208,Virginia,14,Florida St,34,1
209,Wake Forest,20,Georgia Tech,24,1
210,Hawaii,41,Louisiana Tech,21,1
211,Illinois,13,Ohio St,24,1
212,Indiana,35,Michigan,42,1
213,Iowa,24,Penn St,3,1
214,Iowa St,52,Texas Tech,38,1
215,Miami OH,27,Kent,21,1
216,Mississippi,42,Kentucky,35,1
217,LSU,16,Tennessee,14,1
218,Southern Miss,41,Marshall,16,1
219,Memphis,7,Tulsa,48,1
220,Michigan St,34,Wisconsin,24,1
221,Minnesota,28,Northwestern,29,1
222,UNLV,26,Nevada,44,1
223,New Mexico,20,UTEP,38,1
224,NC State,30,Virginia Tech,41,1
225,Oklahoma,28,Texas,20,0
226,Oregon,52,Stanford,31,1
227,Rice,31,SMU,42,1
228,Rutgers,14,Tulane,17,1
229,USC,31,Washington,32,1
230,Toledo,15,Wyoming,20,1
231,UCLA,42,Washington St,28,1
232,MTSU,13,Troy,42,1
233,UCF,42,UAB,7,1
234,Kansas St,13,Nebraska,48,1
235,Rutgers,27,Connecticut,24,1
236,Air Force,49,Colorado St,27,1
237,Kent,28,Akron,17,1
238,South Carolina,35,Alabama,21,1
239,Arizona,27,Oregon St,29,1
240,Washington,14,Arizona St,24,1
241,Arkansas,24,Texas A&M,17,0
242,North Texas,19,Arkansas St,24,1
243,Tulane,23,Army,41,1
244,Kentucky,34,Auburn,37,1
245,Ball St,16,W Michigan,45,1
246,Texas Tech,45,Baylor,38,0
247,Boise St,57,Toledo,14,1
248,NC State,44,Boston College,17,1
249,Ohio,49,Bowling Green,25,1
250,BYU,24,San Diego St,21,1
251,California,35,UCLA,7,1
252,Virginia Tech,45,C Michigan,21,1
253,Cincinnati,45,Miami OH,3,1
254,North Carolina,21,Clemson,16,1
255,Missouri,26,Colorado,0,1
256,Southern Miss,43,East Carolina,44,1
257,Vanderbilt,52,E Michigan,6,1
258,Florida,29,LSU,33,1
259,ULM,20,FL Atlantic,17,1
260,Florida Intl,28,WKU,21,1
261,Miami FL,17,Florida St,45,1
262,Fresno St,27,Hawaii,49,1
263,Georgia,41,Tennessee,14,1
264,Georgia Tech,33,Virginia,21,1
265,Houston,24,Mississippi St,47,1
266,Penn St,13,Illinois,33,1
267,Ohio St,38,Indiana,10,1
268,Iowa St,27,Utah,68,1
269,Louisiana Tech,24,Utah St,6,1
270,Louisville,56,Memphis,0,1
271,Michigan,17,Michigan St,34,1
272,Wisconsin,41,Minnesota,23,1
273,Wake Forest,27,Navy,28,1
274,Nevada,35,San Jose St,13,1
275,West Virginia,49,UNLV,10,1
276,New Mexico St,16,New Mexico,14,1
277,N Illinois,31,Temple,17,1
278,Northwestern,17,Purdue,20,1
279,Notre Dame,23,Pittsburgh,17,1
280,Washington St,23,Oregon,43,1
281,UTEP,44,Rice,24,1
282,South Florida,9,Syracuse,13,1
283,Stanford,37,USC,35,1
284,SMU,21,Tulsa,18,1
285,TCU,45,Wyoming,0,1
286,Marshall,14,UCF,35,1
287,West Virginia,20,South Florida,6,1
288,Kansas,7,Kansas St,59,1
289,Louisville,27,Cincinnati,35,1
290,San Diego St,27,Air Force,25,1
291,Ohio,38,Akron,10,1
292,Alabama,23,Mississippi,10,1
293,UAB,21,UTEP,6,1
294,Washington St,7,Arizona,24,1
295,Auburn,65,Arkansas,43,1
296,Indiana,36,Arkansas St,34,1
297,Rutgers,23,Army,20,0
298,Ball St,38,E Michigan,41,1
299,Colorado,25,Baylor,31,1
300,San Jose St,0,Boise St,48,1
301,Florida St,24,Boston College,19,1
302,Temple,28,Bowling Green,27,1
303,TCU,31,BYU,3,1
304,N Illinois,45,Buffalo,14,1
305,USC,48,California,14,1
306,C Michigan,20,Miami OH,27,1
307,Clemson,31,Maryland,7,1
308,Colorado St,43,UNLV,10,1
309,Duke,13,Miami FL,28,1
310,East Carolina,33,NC State,27,1
311,Florida,7,Mississippi St,10,1
312,North Texas,10,Florida Intl,34,1
313,Fresno St,33,New Mexico St,10,1
314,Georgia,43,Vanderbilt,0,1
315,Georgia Tech,42,MTSU,14,1
316,Hawaii,27,Nevada,21,1
317,Rice,34,Houston,31,1
318,Michigan St,26,Illinois,6,1
319,Michigan,28,Iowa,38,1
320,Oklahoma,52,Iowa St,0,1
321,Toledo,34,Kent,21,1
322,Kentucky,31,South Carolina,28,1
323,WKU,30,ULM,35,1
324,Memphis,19,Southern Miss,41,1
325,Purdue,28,Minnesota,17,1
326,Texas A&M,9,Missouri,30,1
327,Navy,28,SMU,21,1
328,Nebraska,13,Texas,20,1
329,Virginia,10,North Carolina,44,1
330,Notre Dame,44,W Michigan,20,1
331,Wisconsin,31,Ohio St,18,1
332,Texas Tech,17,Oklahoma St,34,1
333,Washington,35,Oregon St,34,1
334,Syracuse,14,Pittsburgh,45,1
335,Tulsa,52,Tulane,24,1
336,Wyoming,6,Utah,30,1
337,Virginia Tech,52,Wake Forest,21,1
338,Oregon,60,UCLA,13,1
339,Cincinnati,30,South Florida,38,1
340,TCU,38,Air Force,7,1
341,Akron,10,W Michigan,56,1
342,Tennessee,10,Alabama,41,1
343,Mississippi St,29,UAB,24,1
344,Arizona,44,Washington,14,1
345,California,50,Arizona St,17,1
346,Arkansas,38,Mississippi,24,1
347,Arkansas St,37,FL Atlantic,16,1
348,Auburn,24,LSU,17,1
349,Toledo,31,Ball St,24,1
350,Baylor,47,Kansas St,42,1
351,Boston College,21,Maryland,24,1
352,Bowling Green,6,Kent,30,1
353,BYU,25,Wyoming,20,1
354,Buffalo,0,Temple,42,1
355,UCF,41,Rice,14,1
356,N Illinois,33,C Michigan,7,1
